Nome_Grande_Regiao,Nome_da_UF,Nome_da_meso,Nome_da_micro,Nome_da_RM,Nome_do_municipio,ipc,compDomicilios,compEntorno,compPessoas,D1BAN,D2AGU,D3M5,D4REN,E1LOG,E2ILU,E3PAV,E4MEI,E5BOC,E6ESG,E7LIX,H1NB,H2MR,H3RA,n
Região Nordeste,Alagoas,Leste Alagoano,Mata Alagoana,Municípios não pertencentes a estrutura de RM,CAJUEIRO,0.48941070001062625,0.593687219144908,0.44174740004128615,0.4327974808456847,0.904992895291293,0.8328188544269685,0.6306243460062784,0.3,0.13383825800986596,0.8176790074243858,0.5669440430514724,0.5520454432208879,0.22891025960436495,0.023120235188599333,0.7696945537894265,0.25557352148561907,0.5856295779560516,0.4571893430953834,20
Região Nordeste,Alagoas,Leste Alagoano,Mata Alagoana,Municípios não pertencentes a estrutura de RM,CAMPESTRE,0.5267815911318966,0.5439092867597726,0.5654862777031934,0.47094920893272396,0.8628372234010306,0.5953319187632616,0.6613772916345709,0.3,0.6461254044061008,0.8029579417655215,0.7008165151748575,0.699892158373132,0.12109074102603605,0.3768294561700817,0.6106917270066246,0.303879963625341,0.6804806655368972,0.4284869976359338,7
Região Nordeste,Alagoas,Leste Alagoano,Mata Alagoana,Municípios não pertencentes a estrutura de RM,CAPELA,0.5280131721538994,0.5176911418278705,0.5782121230289586,0.4881362516048694,0.8170638870996076,0.5486326638168296,0.622759158222915,0.3,0.3988248695964986,0.707596378679777,0.6623898315246718,0.6529168415372624,0.22974998501109178,0.6707236644882787,0.7252832903651298,0.2979446038531358,0.7311589423826368,0.4353052085788357,19
Região Nordeste,Alagoas,Leste Alagoano,Mata Alagoana,Municípios não pertencentes a estrutura de RM,COLÔNIA LEOPOLDINA,0.527816735555908,0.5418931253157071,0.5547180864744378,0.4868389948775794,0.8414506219091863,0.598781157899995,0.6692338467693539,0.3,0.41788357671534304,0.7308961792358472,0.5300560112022404,0.5228045609121824,0.2512002400480096,0.6913382676535307,0.7388477695539107,0.33363304860382637,0.673234646929386,0.45364928909952607,20
Região Nordeste,Alagoas,Leste Alagoano,Mata Alagoana,Municípios não pertencentes a estrutura de RM,FLEXEIRAS,0.4734403450998064,0.5269811865713149,0.4344298500523074,0.4589099986757972,0.7845030425963488,0.5870993914807302,0.6633034987794955,0.3,0.002278275020341741,0.6232709519934907,0.558746948738812,0.5480878763222132,0.09495524816924329,0.5863303498779495,0.6273393002441009,0.25371196754563896,0.6839707078925956,0.43904732058915696,15
Região Nordeste,Alagoas,Leste Alagoano,Mata Alagoana,Municípios não pertencentes a estrutura de RM,JACUÍPE,0.4751781781697569,0.49812828387958774,0.4461712638946068,0.48123498673507614,0.8099185365156496,0.45233671573531514,0.628386167146974,0.3,0.2914985590778098,0.5984149855907781,0.4827089337175792,0.42564841498559075,0.3376080691642651,0.4443804034582133,0.5429394812680115,0.3057024439045305,0.7208933717579251,0.4171091445427728,9
Região Nordeste,Alagoas,Leste Alagoano,Mata Alagoana,Municípios não pertencentes a estrutura de RM,JOAQUIM GOMES,0.4277422892764852,0.479201945862694,0.32012896691857523,0.4838959550481865,0.8196677740863787,0.5620376522702104,0.6143043029568807,0.2,0.17463095077848073,0.6065867994795172,0.28913716516354826,0.28388746803069054,0.09785973886121954,0.15919594382375377,0.6296047022928164,0.2621926910299003,0.6704356799928209,0.5190594941218383,24
Região Nordeste,Alagoas,Leste Alagoano,Mata Alagoana,Municípios não pertencentes a estrutura de RM,JUNDIÁ,0.4446666720279906,0.4997152476814447,0.3439939734282975,0.49029079497422956,0.8077106139933365,0.3969538315088053,0.6939117929050815,0.3,0.1850431447746884,0.6426174496644296,0.3911792905081496,0.3890220517737296,0.08868648130393098,0.09659635666347076,0.6148130393096836,0.2939076630176106,0.7255512943432407,0.45141342756183744,7
Região Nordeste,Alagoas,Leste Alagoano,Mata Alagoana,Municípios não pertencentes a estrutura de RM,MATRIZ DE CAMARAGIBE,0.48714758911958256,0.5441108318297326,0.5075129330852107,0.40981900244380454,0.9347067479503889,0.5236493588396048,0.6621980523586695,0.3,0.18574259095316387,0.7600016862695502,0.7147675055857678,0.7037224400320391,0.21887778761435014,0.18494161291682476,0.7845369082247797,0.24326256043725036,0.5616963871674887,0.42449805972667454,26
Região Nordeste,Alagoas,Leste Alagoano,Mata Alagoana,Municípios não pertencentes a estrutura de RM,MURICI,0.5169072219471229,0.5340810430703757,0.5996605237633366,0.41698009900765654,0.8111148610642367,0.6261671729103386,0.6331231813773036,0.3,0.46572906563207245,0.7329049466537343,0.7251454898157129,0.7230035564177174,0.283422243776269,0.5540737148399612,0.7133446492078888,0.2901713728578392,0.5598528936307792,0.4009160305343511,30
